_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf4727fc2	TRIBULUS BULGARIAN – 90CAPS		COMPLÉMENTS ALIMENTAIRES	Tribulus	Capsule	Capsule
68109e5ececd66abf4727fc3	CLA + CARNITINE – 350G		PERTE DE POIDS	CLA		Powder
68109e5ececd66abf4727fc4	SERIOUS MASS - 2,7 KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727fc5	100% WHEY GOLD STANDARD – 4.5KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727fc6	OMEGA 3-6-9 90 GÉLULES		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	Capsule
68109e5ececd66abf4727fc7	ANIMAL CUTS – 42 SACHETS		PERTE DE POIDS	Brûleurs de Graisse		
68109e5ececd66abf4727fc8	PLATINUM FISH OIL -100 CAPS		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	Capsule
68109e5ececd66abf4727fc9	ANIMAL CUTS – 42 DOSES		PERTE DE POIDS	Fat Burner	Capsule	
68109e5ececd66abf4727fca	FISH OIL – 100 SOFTGELS		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	
68109e5ececd66abf4727fcb	MASS GAINER ZERO - 7KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727fcc	MASS GAINER – 5KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727fcd	MASS GAINER 3KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727fce	LEVRO PUMP - 360GR		COMPLÉMENTS D'ENTRAÎNEMENT	Pré-workout	Powder	
68109e5ececd66abf4727fcf	GOLD ISO - 2KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf4727fd0	REAL WHEY 2 KG - HX NUTRITION		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727fd1	WHEY HD - 2,267 G		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727fd2	ISO 100 DYMATIZE – 2.3KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf4727fd3	BETA ALANINE 300 G SCENIT NUTRITION		COMPLÉMENTS ALIMENTAIRES	Beta alanine	Powder	Powder
68109e5ececd66abf4727fd4	ARGININE 210 GR OSTROVIT		COMPLÉMENTS ALIMENTAIRES	L-arginine		
68109e5ececd66abf4727fd5	GH MAX 180 TABLETS		COMPLÉMENTS ALIMENTAIRES	Boosters Hormonaux		Tablet
68109e5ececd66abf4727fd6	ISO TESTO MR.X 1.8 KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf4727fd7	GAINER XTREME 5.44 KG		PRISE DE MASSE	Gainers Riches en Protéines	Powder	Powder
